image_id,filename_png,sha256,phash,active,price_unit,currency,description_text,qty_default,price_total
0001,logo.png,4c99a5d38a9ec3effa166d4628be3e08f138cd0da025750b05e051c5754b436d,85c37a78938f0fe0,1,,USD,,1,
0002,Profoma 0147-2024_p1_xref.png,d28bfbab923aebbaa1fa3341ff33ad91d54c4fe472752592dfa9a7b69074cf44,bb6c84b37c4e918c,1,,USD,,1,
0003,Profoma 0147-2024_p2_xref.png,dc0524f2e9e8a9179225becd6a4438c34d9fc94c99f37c37315ade44d09e084a,be3f9bc9c16464c0,1,,USD,,1,
0004,Profoma 0253-2021_p0_xref10.png,4c6241845d282b1af09326ef9897edc19369e8d8d9396d0490126462aae776c4,b392cccd9c663398,1,,USD,,1,
0005,Profoma 0253-2021_p0_xref15.png,ad88c2b5e74285c2cdf9a78b7a111d8fc4df6cd10d65e0a0d44ef9b73abf0510,bcc33cc31ce11fe0,1,,USD,,1,
0006,Profoma 0253-2021_p0_xref16.png,c5a5c411e3cb0bfbe5d53b5bb9bfb89ed205cd016f87a1f133bc67fdfd5d23be,eb979e9594603a68,1,,USD,,1,
0007,Profoma 0253-2021_p0_xref17.png,8c49e4412708c0796b64f41714944afd137f5d5304a5b0acfb71dadeccc6ad31,f878686a6a6a6a6a,1,,USD,,1,
0008,Profoma 0253-2021_p0_xref21.png,31df026495ce7c083c97c65db0f4256be82a2bc2d92eaf3788c9002d2aea8ca5,fa3885c768717266,1,,USD,,1,
0009,Profoma 0253-2021_p0_xref22.png,939aad2fd5b06c0d7fc1eef8feb5b995ae93dbd9a299cf147b7f92303f74392f,dfb780482b079f38,1,,USD,,1,
0010,Profoma 0253-2021_p1_xref10.png,4c6241845d282b1af09326ef9897edc19369e8d8d9396d0490126462aae776c4,b392cccd9c663398,1,,USD,,1,
0011,Profoma 0253-2021_p1_xref15.png,ad88c2b5e74285c2cdf9a78b7a111d8fc4df6cd10d65e0a0d44ef9b73abf0510,bcc33cc31ce11fe0,1,,USD,,1,
